,Accession,ATAC-seq,CAGE,CEBPB,CTCF,ChIA-PET,DNase-seq,EP300,EZH2,H2AFZ,H2AK5ac,H2AK9ac,H2BK120ac,H2BK12ac,H2BK15ac,H2BK20ac,H2BK5ac,H3F3A,H3K14ac,H3K18ac,H3K23ac,H3K23me2,H3K27ac,H3K27me3,H3K36me3,H3K4ac,H3K4me1,H3K4me2,H3K4me3,H3K56ac,H3K79me1,H3K79me2,H3K9ac,H3K9me1,H3K9me2,H3K9me3,H3T11ph,H4K12ac,H4K20me1,H4K5ac,H4K8ac,H4K91ac,JUND,MAX,MYC,POLR2A,POLR2AphosphoS5,RAD21,REST,RNA-seq,YY1
741,ENCBS255RBJ,,,,,,ENCSR832XVZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,ENCBS256GOQ,,,,,,ENCSR598RVJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,ENCBS256UPD,,,,,,,,,,,,,,,,,,,,,,ENCSR235ZBF,ENCSR408ONP,ENCSR466DUB,,ENCSR490YCL,,ENCSR432KIH,,,,,,,ENCSR421FPV,,,,,,,,,,,,,,,
744,ENCBS256XCL,,,,,,ENCSR024BXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,ENCBS257BTU,,,,,,ENCSR318JAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,ENCBS257CBK,ENCSR335LHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,ENCBS258TFR,,,,,,,,,,,,,,,,,,,,,,,ENCSR110UIN,ENCSR263WGU,,ENCSR199VMI,,ENCSR703CYD,,,,ENCSR922JMI,,,ENCSR363SSI,,,,,,,,,,,,,,,
748,ENCBS259CUZ,,,,,,ENCSR314EZY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,ENCBS259EPB,ENCSR913OWV,,,,,,,,,,,,,,,,,,,,,ENCSR680IWU,,,,ENCSR698HPK,,ENCSR745TRI,,,,,,,,,,,,,,,,,,,,,,
750,ENCBS260BWC,,,,,,ENCSR618HFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,ENCBS260MJS,,,,,,ENCSR881FBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,ENCBS260UTX,,,,,,ENCSR070CMW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,ENCBS261IIB,,,,,,ENCSR956NOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,ENCBS261RIA,,,,,,,,,,,,,,,,,,,,,,,,ENCSR106VNH,,,,,,,,,,,,,,,,,,,,,,,,,,
755,ENCBS262AAA,,,,,,ENCSR000EPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR320BRR,
756,ENCBS262QPN,,,,,,ENCSR580OAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,ENCBS263AAA,,,,,,ENCSR000ELP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,ENCBS263ACC,,,,,,,,,,,,,,,,,,,,,,ENCSR801IPH,ENCSR519WQH,ENCSR380KNE,,ENCSR148FWR,,,,,,,,,,,,,,,,,,,,,,,,
759,ENCBS263LOB,,,,,,,,,,,,,,,,,,,,,,ENCSR368CYW,ENCSR359BGB,,,,,,,,,,,,ENCSR728YXC,,,,,,,,,,,,,,,
760,ENCBS263ZZU,,,,,,ENCSR953JVX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,ENCBS264SFF,,,,,,ENCSR000EQE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,ENCBS264YFM,,,,,,ENCSR824YLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,ENCBS265GFY,ENCSR736CIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,ENCBS265KOX,,,,,,ENCSR490UQP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,ENCBS266IJZ,,,,,,ENCSR314EZY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,ENCBS266YGB,,,,,,ENCSR301RCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,ENCBS266ZMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR203XPU,,,,,,,,,,,,,,,,,,,,,,
768,ENCBS267CRP,,,,,,ENCSR000EPH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,ENCBS267KBL,,,,,,ENCSR134CIY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,ENCBS267KML,,,,,,ENCSR759UNY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,ENCBS267MEW,,,,,,,,,,,,,,,,,,,,,,ENCSR919WLM,ENCSR198IHT,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,ENCBS267RXN,,,,ENCSR068HEE,,,,,,,,,,,,,,,,,,ENCSR165CDY,ENCSR384AGH,ENCSR309EQQ,,ENCSR350KJU,,ENCSR737WCC,,,,,,,ENCSR351RPE,,,,,,,,,,,,,,,
773,ENCBS268AAA,,,,,,ENCSR000ELV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,ENCBS268NCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR895IWH,,,,,,,,,,,,,,,
775,ENCBS268SOT,ENCSR222SCA,,,,,,,,,,,,,,,,,,,,,ENCSR986ZZK,,,,,,ENCSR482UTI,,,,,,,,,,,,,,,,,,,,,,
776,ENCBS269GXO,ENCSR115OIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,ENCBS269VPV,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DVE,,,,,,,,,,,,,,,,,,,,,,,,,,
778,ENCBS270AAA,,,,,,ENCSR000EQL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,ENCBS270GKZ,,,,,,,,,,,,,,,,,,,,,,ENCSR969HBF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,ENCBS270KOG,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DUE,ENCSR000DUD,,,,ENCSR000DUF,,,,,,,,,,,,,,,,,,,,,,
781,ENCBS270KUL,,,,ENCSR757DFT,,,,,,,,,,,,,,,,,,ENCSR125KVG,ENCSR010HNY,,,,,ENCSR691JHZ,,,,,,,,,,,,,,,,,,,,,,
782,ENCBS270NGZ,,,,,,ENCSR135XMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,ENCBS270TGZ,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR636PIN,,,,,,,,,,,,,,,,,,,,,,,,
784,ENCBS271AAA,,,,,,ENCSR000EIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,ENCBS271EMZ,ENCSR156FDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,ENCBS271FVX,,,,,,ENCSR923JYH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,ENCBS271PJP,,,,ENCSR000DWQ,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DWS,,,,,,,,,,,,,,,,,,,,,,
788,ENCBS271SFD,,,,ENCSR000DQD,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DQB,,,,,,,,,,,,,,,,,,,,,,
789,ENCBS272AAA,,,,,,ENCSR000EIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,ENCBS273AAA,,,,,,ENCSR000EMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,ENCBS273LIC,,,,,,,,ENCSR113GDB,,,,,,,,,,,,,,ENCSR835MMN,,,,ENCSR152QRE,,ENCSR287VPM,,,,ENCSR111QAW,,,,,,,,,,,,,,,,,,
792,ENCBS273NAA,,,,,,,,,,,,,,,,,,,,,,,ENCSR636FCX,ENCSR557OPY,,ENCSR089NBT,,ENCSR177QXA,,,,ENCSR175HIV,,,ENCSR207JOI,,,,,,,,,,,,,,,
793,ENCBS273PSC,,,,ENCSR846JKO,,,,,,,,,,,,,,,,,,ENCSR982QIF,ENCSR103QHX,ENCSR736PKV,,ENCSR202XTW,,ENCSR645FBM,,,,,,,ENCSR441YQA,,,,,,,,,,,,,,,
794,ENCBS273TDM,,,,ENCSR967QUQ,,,,,,,,,,,,,,,,,,ENCSR200JVJ,ENCSR198MJK,,,,,ENCSR901EDL,,,,,,,,,,,,,,,,,,,,,,
795,ENCBS273XUE,,,,ENCSR565HBN,,,,,,,,,,,,,,,,,,ENCSR863BVD,,ENCSR371UJJ,,ENCSR848BXL,,ENCSR912VCU,,,,,,,ENCSR433LHD,,,,,,,,,,,,,,,
796,ENCBS274LRN,,,,,,ENCSR433WOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,ENCBS275VNY,,,,,,ENCSR562FNN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,ENCBS276EMT,,,,ENCSR000ANS,,,,ENCSR000ASZ,ENCSR000ANU,,,,,,,,,,,,,ENCSR000ANV,ENCSR000ATI,ENCSR000ANW,,ENCSR000ANX,ENCSR000ANY,ENCSR000ANZ,,,ENCSR000AON,ENCSR000AOY,,,ENCSR000AQM,,,ENCSR000AOZ,,,,,,,,,,,,
799,ENCBS276SOD,,,,,,ENCSR408GYQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,ENCBS276ZZS,ENCSR283LPH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,ENCBS277FWQ,,,,,,ENCSR621ENC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,ENCBS277GST,,,,,,,,,,,,,,,,,,,,,,,ENCSR780XZD,ENCSR114YOX,,ENCSR874NDX,,,,,,,,,ENCSR444YIP,,,,,,,,,,,,,,,
803,ENCBS277KDR,,,,,,,,,,,,,,,,,,,,,,,ENCSR792GCH,,,ENCSR276HBK,,,,,ENCSR188GJE,,,,,,,,,,,,,,,,,,,
804,ENCBS277QGW,,,,,,ENCSR822GDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,ENCBS278PUM,,,,,,ENCSR017TFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,ENCBS278TPS,,,,,,ENCSR706IDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,ENCBS279AXJ,ENCSR977LVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,ENCBS279JIS,,,,,,ENCSR161ZGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,ENCBS279OPH,,,,,,ENCSR365NDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,ENCBS279UIZ,,,,,,ENCSR946OIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,ENCBS280DYM,,,,ENCSR236YGF,,,,,,,,,,,,,,,,,,ENCSR208QRN,ENCSR840VWD,ENCSR047JMV,,ENCSR791LZY,,ENCSR933BVL,,,,,,,,,,,,,,,,,,,,,,
812,ENCBS280HOU,,,,,,ENCSR541IET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,ENCBS280SJR,,,,,,ENCSR777USE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,ENCBS280UGX,ENCSR153IUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,ENCBS281CNH,,,,,,ENCSR039ZVQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,ENCBS281MYW,ENCSR189VFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,ENCBS281QFI,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DWU,,,,,ENCSR000DWV,,,,,,,,,,,,,,,,,,,,,,
818,ENCBS282AAA,,,,ENCSR000AQU,,,,ENCSR000ASW,ENCSR000AQV,,,,,,,,,,,,,ENCSR000AQW,ENCSR000ASX,ENCSR000AQX,,ENCSR000AQY,ENCSR000AQZ,ENCSR000ARA,,,ENCSR000ARB,ENCSR000ARY,,,ENCSR000ARZ,,,ENCSR000ARC,,,,,,,,,,,,
819,ENCBS282GPE,ENCSR999NKW,,,ENCSR829HTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,ENCBS282MUP,,,,,,,,,,,,,,,,,,,,,ENCSR326NQF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,ENCBS282OCK,ENCSR854TTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,ENCBS283AWZ,,,,,,,,,,,,,,,,,,,,,,,,ENCSR555QHZ,,ENCSR196LEI,,ENCSR004AKD,,,,ENCSR006GPM,,,ENCSR439EHQ,,,,,,,,,,,,,,,
823,ENCBS283LLW,ENCSR830ALP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,ENCBS283PJL,,,,,,ENCSR515DVK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,ENCBS284AOV,,,,,,ENCSR355WAJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,ENCBS284KIE,,,,,,,,,,,,,,,,,,,,,,,ENCSR254XTB,ENCSR072QBN,,ENCSR586POT,,ENCSR434AFF,,,,,,,ENCSR437MHW,,,,,,,,,,,,,,,
827,ENCBS284MTX,,,,,,ENCSR639VTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,ENCBS285AAA,,,,,,ENCSR000EIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,ENCBS285QSX,,,,,,,,,,,,,,,,,,,,,,,ENCSR216OGD,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,ENCBS286GRO,,,,,,ENCSR642DZF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,ENCBS286HWS,,,,,,ENCSR121BSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,ENCBS286JKJ,,,,,,ENCSR000EOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,ENCBS287AAA,,,,,,ENCSR000EIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,ENCBS287DAY,,,,,,ENCSR541AVF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,ENCBS287ITL,,,,,,ENCSR000EMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,ENCBS287UWO,,,,,,,,,,,,,,,,,,,,,,ENCSR156XNC,ENCSR390SFH,,,,,ENCSR206JRX,,,,,,,ENCSR605OYC,,,,,,,,,,,,,,,
837,ENCBS288AAA,,,,,,ENCSR000EIW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,ENCBS288RHU,ENCSR302PTB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,ENCBS289AAA,,,,,,ENCSR000EIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,ENCBS289LTS,,,,,,ENCSR366EGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,ENCBS289TMG,ENCSR290AUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,ENCBS289YMC,,,,,,,,,,ENCSR732NFR,,ENCSR811NNT,,ENCSR123JZO,,ENCSR651SVZ,,,ENCSR182XTG,ENCSR361LIU,,,ENCSR694LBI,,,,,,,,,,,,ENCSR391WDE,,,,,,,,,,,,,,,
843,ENCBS291AAA,,,,,,ENCSR000EJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,ENCBS291EBC,ENCSR308HPZ,,,ENCSR998NQG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,ENCBS291NHF,,,,,,ENCSR208DMX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,ENCBS292HQZ,,,,,,ENCSR249RFY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,ENCBS293AAA,,,,,,ENCSR000EMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR490SQH,
848,ENCBS293AYO,,,,,,ENCSR011VJK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,ENCBS293HQE,ENCSR040PBN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,ENCBS293IRA,,,,,,ENCSR035RVH,,,,,,,,,,,,,,,,,ENCSR377MRR,ENCSR089TWS,,ENCSR027BAJ,,ENCSR075OQB,,,,ENCSR781UXO,,,,,,,,,,,,,,,,,,
851,ENCBS293PZC,,,,,,ENCSR746ZPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,ENCBS293ZEH,,,,,,ENCSR385XHV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,ENCBS294OHG,,,,,,ENCSR988YKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,ENCBS294RTL,,,,,,,,,,,,,,,,,,,,,,,,ENCSR988DFT,,,,ENCSR930HLX,,,,,,,ENCSR909VUB,,,,,,,,,,,,,,,
855,ENCBS294WHX,,,,,,ENCSR163PKT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,ENCBS295DKP,,,,,,,,,,,,,,,,,,,,,,,ENCSR997YTW,ENCSR869WSC,,ENCSR386JEL,,ENCSR780FXX,,,,,,,ENCSR146KXZ,,,,,,,,,,,,,,,
857,ENCBS295EWT,,,,,,ENCSR333BUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,ENCBS295NFS,,,,ENCSR000AMA,,,,ENCSR000ARI,ENCSR000AOK,,,,,,,,,,,,,ENCSR000AMO,ENCSR000AOL,ENCSR000AMB,,ENCSR000APV,ENCSR000AMC,ENCSR575RRX,,,ENCSR000AOM,ENCSR000AMD,,,,,,ENCSR000AMQ,,,,,,,,,,,,
859,ENCBS295WIH,ENCSR512YXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,ENCBS296HJC,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR324EFP,,,,,,,,,,,,,,,,,,,,,,,,
861,ENCBS296KUN,ENCSR337UIU,,,ENCSR776AEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR434MWV,,,,,
862,ENCBS296QVB,,,,ENCSR763VUL,,,,,,,,,,,,,,,,,,ENCSR424IJM,ENCSR881FDY,,,,,ENCSR215QQE,,,,,,,,,,,,,,,,,,,,,,
863,ENCBS297CQV,,,,,,ENCSR000EMZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,ENCBS297KRV,,,,ENCSR253ALG,,,,,,,,,,,,,,,,,,ENCSR245GEV,ENCSR511LIV,ENCSR423OOD,,ENCSR571RCH,,ENCSR211SBE,,,,,,,ENCSR703XCI,,,,,,,,,,,,,,,
865,ENCBS297MNR,,,,ENCSR266CJT,,,,,,,,,,,,,,,,,,ENCSR564WJA,ENCSR747JSA,ENCSR801KDK,,ENCSR922KKS,,ENCSR122MPC,,,,,,,ENCSR341AXR,,,,,,,,,,,,,,,
866,ENCBS297OJC,,,,,,,,,,,,,,,,,,,,,,ENCSR778NQS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,ENCBS298AAA,,,,,,ENCSR000EJP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,ENCBS298AWT,,,,,,ENCSR593WXK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,ENCBS298BRW,ENCSR591PIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,ENCBS298GBP,,,,,,ENCSR922YEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,ENCBS298QDA,ENCSR372IGW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,ENCBS299IZQ,,,,,,ENCSR154OUQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,ENCBS299RKW,,,,,,ENCSR318PRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,ENCBS299VJH,,,,,,ENCSR108SYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
875,ENCBS299YQN,,,,,,ENCSR458LIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,ENCBS300TDW,,,,,,,,,,,,,,,,,,,,,,ENCSR579YLO,,ENCSR728GTL,,ENCSR324VZT,,ENCSR403KAA,,,,,,,,,,,,,,,,,,,,,,
877,ENCBS300UPT,,,,,,ENCSR148MFM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,ENCBS301AAA,,,,,,ENCSR000ENA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,ENCBS301NVB,,,,,,ENCSR532CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,ENCBS301TDC,ENCSR400ISH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
881,ENCBS301UOD,,,,,,,,,ENCSR317NQG,,,,,,,,,,,,,,ENCSR963HAR,ENCSR867UKC,,ENCSR306VSH,ENCSR870IGD,ENCSR910XKX,,,ENCSR604III,,,ENCSR473TDG,ENCSR978BQI,,,ENCSR159CDJ,,,,,,,,,,,,
882,ENCBS302AAA,,,,ENCSR000DSU,,ENCSR000ENB,,,,,,,,,,,,,,,,,,,,,,ENCSR000DSW,,,,,,,,,,,,,,,,,,,,,,
883,ENCBS302TYA,,,,,,,,,,,,,,,,,,,,,,ENCSR200ETW,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,ENCBS303AAA,,,,ENCSR000DSZ,,ENCSR000ENC,,,,,,,,,,,,,,,,,,,,,,ENCSR000DSY,,,,,,,,,,,,,,,,,,,,,,
885,ENCBS303EKF,,,,,,ENCSR635URJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,ENCBS303JLZ,,,,,,ENCSR059ETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,ENCBS303TME,,,,,,ENCSR032NNU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,ENCBS303WCA,,,,,,ENCSR493IAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,ENCBS303XQZ,ENCSR580JBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,ENCBS303XVD,ENCSR926TFY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,ENCBS304AAA,,,,ENCSR000DTA,,ENCSR000ENE,,,,,,,,,,,,,,,,,,,,,,ENCSR000DTC,,,,,,,,,,,,,,,,,,,,,,
892,ENCBS304EKV,,,,,,ENCSR346JWH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,ENCBS304FAI,,,,ENCSR027HML,,,,,ENCSR331RGM,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR199KHR,ENCSR389WWC,,,,,,,,,,,,,,,
894,ENCBS304FVE,,,,,,,,,,,,,,,,,,,,,,,ENCSR011QFP,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,ENCBS305AAA,,,,,,ENCSR000ENF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,ENCBS305CXN,ENCSR864ADD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,ENCBS306AAA,,,,,,ENCSR000ENG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,ENCBS306BLW,ENCSR074WMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,ENCBS306FJR,,,,,,ENCSR251INE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,ENCBS306XUQ,,,,,,ENCSR011VHK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,ENCBS307AAA,,,,,,ENCSR000ENI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,ENCBS307IZJ,,,,,,ENCSR683YLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,ENCBS307KOL,ENCSR544YXV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,ENCBS308AAA,,,,,,ENCSR000ENK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,ENCBS308ABW,ENCSR660WSB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,ENCBS308XSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCSR000DUO,,,,,,,,,,,,,,,,,,,,,,
907,ENCBS309AAA,,,,,,ENCSR000ENQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,ENCBS309GBV,ENCSR634WYX,,,,,,,,,,,,,,,,,,,,,ENCSR540KQC,,,,ENCSR682BFG,,ENCSR571HAY,,,,,,,,,,,,,,,,,,,,,,
909,ENCBS310AAA,,,,,,ENCSR000ENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
